id,device_name,recorded_at,P6_running,P6_IO_0500_C,P6_IO_0501_C,P6_IO_0502_C,P6_IO_0503_C,P6_IO_0504_C,P6_IO_0505_C,P6_IO_0506_C,P6_IO_0507_C,P6_IO_0508_C,P6_IO_0509_C,P6_IO_0510_C,P6_IO_0511_C,P6_IO_0512_C,P6_IO_0513_C,P6_IO_0514_C,P6_IO_0515_C,P6_IO_0516_C,P6_IO_0517_C,P6_IO_0518_C,P6_IO_0519_C,P6_IO_0520_C,P6_IO_0521_C,P6_IO_0522_C,P6_IO_0523_C,P6_IO_0524_C,P6_IO_0525_C,P6_IO_0526_C,P6_IO_0527_C,P6_IO_0528_C,P6_IO_0529_C,P6_IO_0530_C,P6_IO_0531_C,P6_IO_0532_C,P6_IO_0533_C,P6_IO_0534_C,P6_IO_0535_C,P6_IO_0536_C,P6_IO_0537_C,P6_IO_0538_C,P6_IO_0539_C,P6_IO_0540_C,P6_IO_0541_C,P6_IO_0542_C,P6_IO_0543_C,P6_IO_0544_C,P6_IO_0545_C,P6_IO_0546_C,P6_IO_0547_C,P6_IO_0548_C,P6_IO_0549_C,P6_IO_0550_C,P6_IO_0551_C,P6_IO_0552_C,P6_IO_0553_C,P6_IO_0554_C,P6_IO_0555_C,P6_IO_0556_C,P6_IO_0557_C,P6_IO_0558_C,P6_IO_0559_C,P6_IO_0560_C,P6_IO_0561_C,P6_IO_0562_C,P6_IO_0563_C,P6_IO_0564_C,P6_IO_0565_C,P6_IO_0566_C,P6_IO_0567_C,P6_IO_0568_C,P6_IO_0569_C,P6_IO_0570_C,P6_IO_0571_C,P6_IO_0572_C,P6_IO_0573_C,P6_IO_0574_C,P6_IO_0575_C,P6_IO_0576_C,P6_IO_0577_C,P6_IO_0578_C,P6_IO_0579_C,P6_IO_0580_C,P6_IO_0581_C,P6_IO_0582_C,P6_IO_0583_C,P6_IO_0584_C,P6_IO_0585_C,P6_IO_0586_C,P6_IO_0587_C,P6_IO_0588_C,P6_IO_0589_C,P6_IO_0590_C,P6_IO_0591_C,P6_IO_0592_C,P6_IO_0593_C,P6_IO_0594_C,P6_IO_0595_C,P6_IO_0596_C,P6_IO_0597_C,P6_IO_0598_C,P6_D_31600_C,P6_D_31601_C,P6_D_31602_C,P6_D_31603_C,P6_D_31604_C,P6_D_31605_C,P6_D_31606_C,P6_D_31607_C,P6_D_31608_C,P6_D_31609_C,P6_D_31610_C,P6_D_31611_C,P6_D_31612_C,P6_D_31613_C,P6_D_31614_C,P6_D_31615_C,P6_D_31616_C,P6_D_31617_C,P6_D_31618_C,P6_D_31619_C,P6_D_31620_C,P6_D_31621_C,P6_D_31622_C,P6_D_31623_C,P6_D_31624_C,P6_D_31625_C,P6_D_31626_C,P6_D_31627_C,P6_D_31628_C,P6_D_31629_C,P6_D_31630_C,P6_D_31631_C,P6_D_31632_C,P6_D_31633_C,P6_D_31634_C,P6_D_31635_C,P6_D_31636_C,P6_D_31637_C,P6_D_31638_C,P6_D_31639_C,P6_D_31640_C,P6_D_31641_C,P6_D_31642_C,P6_D_31643_C,P6_D_31644_C,P6_D_31645_C,P6_D_31646_C,P6_D_31647_C,P6_D_31648_C,P6_D_31649_C,P6_D_31650_C,P6_D_31651_C,P6_D_31652_C,P6_D_31653_C,P6_D_31654_C,P6_D_31655_C,P6_D_31656_C,P6_D_31657_C,P6_D_31658_C,P6_D_31659_C,P6_D_31660_C,P6_D_31661_C,P6_D_31662_C,P6_D_31663_C,P6_D_31664_C,P6_D_31665_C,P6_D_31666_C,P6_D_31667_C,P6_D_31668_C,P6_D_31669_C,P6_D_31670_C,P6_D_31671_C,P6_D_31672_C,P6_D_31673_C,P6_D_31674_C,P6_D_31675_C,P6_D_31676_C,P6_D_31677_C,P6_D_31678_C,P6_D_31679_C,P6_D_31680_C,P6_D_31681_C,P6_D_31682_C,P6_D_31683_C,P6_D_31684_C,P6_D_31685_C,P6_D_31686_C,P6_D_31687_C,P6_D_31688_C,P6_D_31689_C,P6_D_31690_C,P6_D_31691_C,P6_D_31692_C,P6_D_31693_C,P6_D_31694_C,P6_D_31695_C,P6_D_31696_C,P6_D_31697_C,P6_D_31698_C,P6_D_31699_C,P6_D_31700_C,P6_D_31701_C,P6_D_31702_C,P6_D_31703_C,P6_D_31704_C,P6_D_31705_C,P6_D_31706_C,P6_D_31707_C,P6_D_31708_C,P6_D_31709_C,P6_D_31710_C,P6_D_31711_C,P6_D_31712_C,P6_D_31713_C,P6_D_31714_C,P6_D_31715_C,P6_D_31716_C,P6_D_31717_C,P6_D_31718_C,P6_D_31719_C,P6_D_31720_C,P6_D_31721_C,P6_D_31722_C,P6_D_31723_C,P6_D_31724_C,P6_D_31725_C,P6_D_31726_C,P6_D_31727_C,P6_D_31728_C,P6_D_31729_C,P6_D_31730_C,P6_D_31731_C,P6_D_31732_C,P6_D_31733_C,P6_D_31734_C,P6_D_31735_C,P6_D_31736_C,P6_D_31737_C,P6_D_31738_C,P6_D_31739_C,P6_D_31740_C,P6_D_31741_C,P6_D_31742_C,P6_D_31743_C,P6_D_31744_C,P6_D_31745_C,P6_D_31746_C,P6_D_31747_C,P6_D_31748_C,P6_D_31749_C,P6_D_31750_C,P6_D_31751_C,P6_D_31752_C,P6_D_31753_C,P6_D_31754_C,P6_D_31755_C,P6_D_31756_C,P6_D_31757_C,P6_D_31758_C,P6_D_31759_C,P6_D_31760_C,P6_D_31761_C,P6_D_31762_C,P6_D_31763_C,P6_D_31764_C,P6_D_31765_C,P6_D_31766_C,P6_D_31767_C,P6_D_31768_C,P6_D_31769_C,P6_D_31770_C,P6_D_31771_C,P6_D_31772_C,P6_D_31773_C,P6_D_31774_C,P6_D_31775_C,P6_D_31776_C,P6_D_31777_C,P6_D_31778_C,P6_D_31779_C,P6_D_31780_C,P6_D_31781_C,P6_D_31782_C,P6_D_31783_C,P6_D_31784_C,P6_D_31785_C,P6_D_31786_C,P6_D_31787_C,P6_D_31788_C,P6_D_31789_C,P6_D_31790_C,P6_D_31791_C,P6_D_31792_C,P6_D_31793_C,P6_D_31794_C,P6_D_31795_C,P6_D_31796_C,P6_D_31797_C,P6_D_31798_C,P6_D_31799_C,P6_D_31800_C,P6_D_31801_C,P6_D_31802_C,P6_D_31803_C,P6_D_31804_C,P6_D_31805_C,P6_D_31806_C,P6_D_31807_C,P6_D_31808_C,P6_D_31809_C,P6_D_31810_C,P6_D_31811_C,P6_D_31812_C,P6_D_31813_C,P6_D_31814_C,P6_D_31815_C,P6_D_31816_C,P6_D_31817_C,P6_D_31818_C,P6_D_31819_C,P6_D_31820_C,P6_D_31821_C,P6_D_31822_C,P6_D_31823_C,P6_D_31824_C,P6_D_31825_C,P6_D_31826_C,P6_D_31827_C,P6_D_31828_C,P6_D_31829_C,P6_D_31830_C,P6_D_31831_C,P6_D_31832_C,P6_D_31833_C,P6_D_31834_C,P6_D_31835_C,P6_D_31836_C,P6_D_31837_C,P6_D_31838_C,P6_D_31839_C,P6_D_31840_C,P6_D_31841_C,P6_D_31842_C,P6_D_31843_C,P6_D_31844_C,P6_D_31845_C,P6_D_31846_C,P6_D_31847_C,P6_D_31848_C,P6_D_31849_C,P6_D_31850_C,P6_D_31851_C,P6_D_31852_C,P6_D_31853_C,P6_D_31854_C,P6_D_31855_C,P6_D_31856_C,P6_D_31857_C,P6_D_31858_C,P6_D_31859_C,P6_D_31860_C,P6_D_31861_C,P6_D_31862_C,P6_D_31863_C,P6_D_31864_C,P6_D_31865_C,P6_D_31866_C,P6_D_31867_C,P6_D_31868_C,P6_D_31869_C,P6_D_31870_C,P6_D_31871_C,P6_D_31872_C,P6_D_31873_C,P6_D_31874_C,P6_D_31875_C,P6_D_31876_C,P6_D_31877_C,P6_D_31878_C,P6_D_31879_C,P6_D_31880_C,P6_D_31881_C,P6_D_31882_C,P6_D_31883_C,P6_D_31884_C,P6_D_31885_C,P6_D_31886_C,P6_D_31887_C,P6_D_31888_C,P6_D_31889_C,P6_D_31890_C,P6_D_31891_C,P6_D_31892_C,P6_D_31893_C,P6_D_31894_C,P6_D_31895_C,P6_D_31896_C,P6_D_31897_C,P6_D_31898_C
2524,AM322,2025-11-27 14:15:25.064958+09:00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,AM322,2025-11-27 14:15:28.136805+09:00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,AM322,2025-11-27 14:15:29.683794+09:00,True,,0000&&14:15:14:557,,,,,,,,,,,,,,,,0000&&14:15:14:646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,AM322,2025-11-27 14:15:32.287373+09:00,True,0000&&14:15:14:554,,9000&&14:15:14:560,0000&&14:15:14:564,0000&&14:15:14:568,0000&&14:15:14:576,0000&&14:15:14:581,0000&&14:15:14:586,0000&&14:15:14:592,0000&&14:15:14:599,1CA2&&14:15:14:605,0400&&14:15:14:611,0000&&14:15:14:616,0000&&14:15:14:622,0000&&14:15:14:628,0000&&14:15:14:637,0000&&14:15:14:641,,0000&&14:15:14:652,0000&&14:15:14:658,0000&&14:15:14:668,0000&&14:15:14:674,0000&&14:15:14:680,0000&&14:15:14:685,0000&&14:15:14:691,0000&&14:15:14:696,0000&&14:15:14:704,0000&&14:15:14:709,0000&&14:15:14:726,0000&&14:15:14:732,0000&&14:15:14:739,0000&&14:15:14:745,0000&&14:15:14:754,0000&&14:15:14:759,0000&&14:15:14:766,0000&&14:15:14:772,0000&&14:15:14:776,0000&&14:15:14:782,0000&&14:15:14:789,0000&&14:15:14:796,0000&&14:15:14:803,0000&&14:15:14:813,0000&&14:15:14:822,0000&&14:15:14:827,0000&&14:15:14:830,0000&&14:15:14:834,0000&&14:15:14:837,0000&&14:15:14:839,0000&&14:15:14:842,0000&&14:15:14:849,0000&&14:15:14:852,0000&&14:15:14:855,0000&&14:15:14:860,0000&&14:15:14:864,0000&&14:15:14:867,0000&&14:15:14:870,0000&&14:15:14:873,0000&&14:15:14:876,0000&&14:15:14:879,0000&&14:15:14:881,0000&&14:15:14:885,0000&&14:15:14:888,0000&&14:15:14:891,0000&&14:15:14:893,0000&&14:15:14:896,0000&&14:15:14:899,0000&&14:15:14:902,0000&&14:15:14:908,0000&&14:15:14:911,0000&&14:15:14:914,0000&&14:15:14:917,0000&&14:15:14:920,0000&&14:15:14:922,0000&&14:15:14:925,0000&&14:15:14:928,0000&&14:15:14:931,0000&&14:15:14:934,0000&&14:15:14:936,0000&&14:15:14:939,0000&&14:15:14:942,0000&&14:15:14:946,0000&&14:15:14:949,0000&&14:15:14:952,0000&&14:15:14:955,0000&&14:15:14:958,0000&&14:15:14:961,0000&&14:15:14:963,0000&&14:15:14:966,0000&&14:15:14:969,0000&&14:15:14:971,0000&&14:15:14:974,0000&&14:15:14:977,0000&&14:15:14:980,0000&&14:15:14:982,0000&&14:15:14:985,0000&&14:15:14:988,0000&&14:15:14:997,0001&&14:15:15:004,0000&&14:15:15:007,0000&&14:15:15:010,0144&&14:15:15:014,016A&&14:15:15:017,01CC&&14:15:15:034,00A0&&14:15:15:044,0000&&14:15:15:047,0046&&14:15:15:050,FFD8&&14:15:15:054,0000&&14:15:15:060,,008C&&14:15:15:068,0000&&14:15:15:072,0032&&14:15:15:076,FFC4&&14:15:15:084,00FD&&14:15:15:088,0107&&14:15:15:092,00F3&&14:15:15:100,0D39&&14:15:15:104,0D66&&14:15:15:108,0D02&&14:15:15:112,0000&&14:15:15:120,078F&&14:15:15:125,06C2&&14:15:15:132,0000&&14:15:15:136,0000&&14:15:15:140,0000&&14:15:15:148,0000&&14:15:15:152,0000&&14:15:15:156,0000&&14:15:15:160,0000&&14:15:15:168,0000&&14:15:15:172,0000&&14:15:15:176,0000&&14:15:15:180,0000&&14:15:15:188,0000&&14:15:15:192,0000&&14:15:15:196,0000&&14:15:15:200,0000&&14:15:15:208,0000&&14:15:15:212,0000&&14:15:15:215,0000&&14:15:15:218,0000&&14:15:15:222,0000&&14:15:15:226,0000&&14:15:15:228,0000&&14:15:15:231,,0000&&14:15:15:237,0000&&14:15:15:240,,0000&&14:15:15:246,0000&&14:15:15:248,0002&&14:15:15:251,,0002&&14:15:15:257,0002&&14:15:15:259,0002&&14:15:15:262,0002&&14:15:15:265,0002&&14:15:15:268,0002&&14:15:15:270,,0002&&14:15:15:276,0002&&14:15:15:280,0002&&14:15:15:283,0000&&14:15:15:286,0000&&14:15:15:289,0000&&14:15:15:292,0000&&14:15:15:295,0000&&14:15:15:298,0000&&14:15:15:301,0000&&14:15:15:304,0000&&14:15:15:307,0000&&14:15:15:309,0000&&14:15:15:312,0000&&14:15:15:315,0000&&14:15:15:318,,0000&&14:15:15:324,0000&&14:15:15:327,0000&&14:15:15:330,,0000&&14:15:15:335,,,,0000&&14:15:15:350,0000&&14:15:15:353,0000&&14:15:15:356,0000&&14:15:15:358,0000&&14:15:15:361,0000&&14:15:15:364,0000&&14:15:15:367,0000&&14:15:15:370,0000&&14:15:15:373,0000&&14:15:15:376,0000&&14:15:15:378,0000&&14:15:15:381,0000&&14:15:15:384,0000&&14:15:15:387,0000&&14:15:15:390,0000&&14:15:15:393,0000&&14:15:15:396,0000&&14:15:15:401,,0000&&14:15:15:406,0000&&14:15:15:409,,0000&&14:15:15:428,0000&&14:15:15:432,,0000&&14:15:15:440,0000&&14:15:15:448,0000&&14:15:15:452,0000&&14:15:15:456,0000&&14:15:15:460,0000&&14:15:15:468,,0000&&14:15:15:476,0000&&14:15:15:484,0000&&14:15:15:492,0000&&14:15:15:495,0000&&14:15:15:500,0000&&14:15:15:506,0000&&14:15:15:512,0000&&14:15:15:516,0000&&14:15:15:524,0000&&14:15:15:528,0000&&14:15:15:532,0000&&14:15:15:540,0000&&14:15:15:544,,0000&&14:15:15:552,0000&&14:15:15:560,0000&&14:15:15:564,0000&&14:15:15:572,,0000&&14:15:15:580,,,0000&&14:15:15:594,,0000&&14:15:15:604,0000&&14:15:15:610,0000&&14:15:15:620,0000&&14:15:15:624,0000&&14:15:15:628,,0000&&14:15:15:640,0000&&14:15:15:648,0000&&14:15:15:652,0000&&14:15:15:656,0000&&14:15:15:660,,0000&&14:15:15:685,0000&&14:15:15:691,0000&&14:15:15:696,,,0000&&14:15:15:715,0000&&14:15:15:720,0000&&14:15:15:724,,0000&&14:15:15:737,,0000&&14:15:15:748,0000&&14:15:15:758,,0000&&14:15:15:774,0000&&14:15:15:777,0000&&14:15:15:780,0000&&14:15:15:783,,,0000&&14:15:15:807,0000&&14:15:15:810,,0000&&14:15:15:822,0000&&14:15:15:826,0000&&14:15:15:834,,,,,,,0000&&14:15:15:874,0000&&14:15:15:877,0000&&14:15:15:879,0000&&14:15:15:882,,,0000&&14:15:15:915,0000&&14:15:15:918,0000&&14:15:15:928,0000&&14:15:15:935,0000&&14:15:15:938,0000&&14:15:15:953,,0000&&14:15:15:974,,,0000&&14:15:15:994,0000&&14:15:15:999,,,0000&&14:15:16:025,,0000&&14:15:16:047,0000&&14:15:16:054,0000&&14:15:16:064,0000&&14:15:16:067,0000&&14:15:16:070,,0000&&14:15:16:084,,0000&&14:15:16:094,,0000&&14:15:16:108,0000&&14:15:16:114,,0000&&14:15:16:144,0000&&14:15:16:148,0000&&14:15:16:161,,,0000&&14:15:16:194,0000&&14:15:16:197,0000&&14:15:16:202,0000&&14:15:16:214,,0000&&14:15:16:224,,0000&&14:15:16:244,,0000&&14:15:16:264,,,0000&&14:15:16:294,0000&&14:15:16:304,0000&&14:15:16:307,0000&&14:15:16:314,,0000&&14:15:16:336,,0000&&14:15:16:364,,,,,,0000&&14:15:16:424,,,0000&&14:15:16:444,,,,,,0000&&14:15:16:504,0000&&14:15:16:514,0000&&14:15:16:524,,,,,,,,,,0000&&14:15:16:623,,0000&&14:15:16:642,,,,,,0000&&14:15:16:688,,,,,,,,,,0000&&14:15:16:757,,0000&&14:15:16:768,,,0000&&14:15:16:798,0000&&14:15:16:810,,,,
2528,AM322,2025-11-27 14:15:33.624663+09:00,True,,,,,,,,,,,,0100&&14:15:17:837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0008&&14:15:17:850,,,,01B8&&14:15:15:063,,,,,,,,,,,0761&&14:15:17:854,,,,,,,,,,,,,,,,,,,,,,,,,0000&&14:15:15:234,,,0000&&14:15:15:243,,,,0002&&14:15:15:254,,,,,,,0004&&14:15:15:273,,,,,,,,,,,,,,,,0000&&14:15:15:321,,,,0000&&14:15:15:332,,0000&&14:15:15:341,0000&&14:15:15:344,0000&&14:15:15:347,,,,,,,,,,,,,,,,,,,0000&&14:15:15:403,,,0000&&14:15:15:412,,,0000&&14:15:15:436,,,,,,,0000&&14:15:15:472,,,,,,,,,,,,,,0000&&14:15:15:548,,,,,0000&&14:15:15:576,,0000&&14:15:15:584,0000&&14:15:15:588,,0000&&14:15:15:600,,,,,,0000&&14:15:15:636,,,,,,0000&&14:15:15:667,,,,0000&&14:15:15:703,0000&&14:15:15:710,,,,0000&&14:15:15:732,,0000&&14:15:15:744,,,0000&&14:15:15:764,,,,,0000&&14:15:15:799,0000&&14:15:15:804,,,0000&&14:15:15:819,,,,0000&&14:15:15:837,0000&&14:15:15:840,0000&&14:15:15:844,0000&&14:15:15:856,0000&&14:15:15:859,0000&&14:15:15:862,,,,,0000&&14:15:15:888,0000&&14:15:15:894,,,,,,,0000&&14:15:15:959,,0000&&14:15:15:979,0000&&14:15:15:983,,,0000&&14:15:16:004,0000&&14:15:16:015,,0000&&14:15:16:044,,,,,,0000&&14:15:16:074,,0000&&14:15:16:087,,0000&&14:15:16:104,,,0000&&14:15:16:124,,,,0000&&14:15:16:174,0000&&14:15:16:178,,,,,0000&&14:15:16:218,,0000&&14:15:16:230,,0000&&14:15:16:247,,0000&&14:15:16:274,0000&&14:15:16:284,,,,,0000&&14:15:16:324,,0000&&14:15:16:354,,0000&&14:15:16:374,0000&&14:15:16:384,0000&&14:15:16:394,0000&&14:15:16:404,0000&&14:15:16:414,,0000&&14:15:16:434,0000&&14:15:16:438,,0000&&14:15:16:454,0000&&14:15:16:464,0000&&14:15:16:469,0000&&14:15:16:474,0000&&14:15:16:494,,,,0000&&14:15:16:536,0000&&14:15:16:544,0000&&14:15:16:554,0000&&14:15:16:574,0000&&14:15:16:584,0000&&14:15:16:587,0000&&14:15:16:595,0000&&14:15:16:603,0000&&14:15:16:614,,0000&&14:15:16:630,,0000&&14:15:16:651,0000&&14:15:16:658,0000&&14:15:16:668,0000&&14:15:16:676,0000&&14:15:16:682,,0000&&14:15:16:693,0000&&14:15:16:699,0000&&14:15:16:712,0000&&14:15:16:719,0000&&14:15:16:726,0000&&14:15:16:732,0000&&14:15:16:738,0000&&14:15:16:745,0000&&14:15:16:750,,0000&&14:15:16:762,,0000&&14:15:16:777,0000&&14:15:16:791,,,0000&&14:15:16:820,0000&&14:15:16:827,0000&&14:15:16:835,0000&&14:15:16:846
2529,AM322,2025-11-27 14:15:35.141110+09:00,True,,,,,,0008&&14:15:19:724,,,,,18A6&&14:15:17:834,1000&&14:15:19:727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0150&&14:15:18:790,,,FFEB&&14:15:19:737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,AM322,2025-11-27 14:15:36.552814+09:00,True,,,,,,0000&&14:15:20:703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,AM322,2025-11-27 14:15:38.053531+09:00,True,,,,,,,,,,,0882&&14:15:21:628,0000&&14:15:22:568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,AM322,2025-11-27 14:15:39.435591+09:00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,AM322,2025-11-27 14:15:40.694453+09:00,True,,,,,,,,,,,0082&&14:15:23:572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
